ResourceID,Date,DateFor,Author,Topic,Keywords,Rating,Format,isVerified
1,2025-11-15,2025-11-15,"Web Scraped","Main Page",NULL,5.0,Website,0
32219056,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper","Illustration of a fiber o",NULL,5.0,Image,0
48388489,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper","Illustration of a wireles",NULL,5.0,Image,0
54453910,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper","Illustration of an intern",NULL,5.0,Image,0
59505732,2025-11-15,2025-11-15,"mit ocw, lobster notes web scraper",image,NULL,5.0,Image,0
94615793,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper","Ahunt, Wikipedia",NULL,5.0,Image,0
151112571,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper","Student Guide  How do ste",NULL,5.0,Pdf,0
169679528,2025-11-15,2025-11-15,"mit ocw, lobster notes web scraper",image,NULL,5.0,Video,0
206504305,2025-11-15,2025-11-15,"mit ocw, lobster notes web scraper",image,NULL,5.0,Image,0
212969751,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper","Sir David Wilkie, Reading",NULL,5.0,Image,0
258552457,2025-11-15,2025-11-15,"mit ocw, lobster notes web scraper",image,NULL,5.0,Pdf,0
278871970,2025-11-15,2025-11-15,"mit ocw, lobster notes web scraper",image,NULL,5.0,Pdf,0
320797539,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper","Student Guide  How do ste",NULL,5.0,Pdf,0
331921087,2025-11-15,2025-11-15,"mit ocw, lobster notes web scraper",image,NULL,5.0,Video,0
390335955,2025-11-15,2025-11-15,"mit ocw, lobster notes web scraper",image,NULL,5.0,Pdf,0
431915540,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper","Specialized cells of the",NULL,5.0,Image,0
441917378,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper","Inventing America, Colt's",NULL,5.0,Video,0
476983658,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper",Zephyris,NULL,5.0,Image,0
478785320,2025-11-15,2025-11-15,"mit ocw, lobster notes web scraper",image,NULL,5.0,Video,0
480971355,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper","Human fertilization and e",NULL,5.0,Video,0
